,id_target,disposition,period,duration,koi_time0bk
4351,2558163,CANDIDATE,17.543847,5.948,138.9151
4352,8107611,CANDIDATE,3.8183717,2.687,133.90812
4356,8752940,CANDIDATE,9.07829171,0.783,138.25933
4363,4384909,CANDIDATE,6.41097179,2.582,132.9844
4365,11506654,CANDIDATE,75.2116373,3.203,202.30222
4366,5687700,CANDIDATE,6.36283414,3.752,131.8069
4367,8806985,CANDIDATE,7.53737498,3.966,135.80956
4370,6527078,CANDIDATE,7.57600886,3.361,135.6293
4378,10120548,CANDIDATE,8.8303681,3.426,134.80059
4379,4474462,CANDIDATE,12.85755895,4.831,141.85597
4381,4141593,CANDIDATE,33.502923,11.947,158.6469
4382,10003058,CANDIDATE,148.568877,4.399,139.60402
4383,9031703,CANDIDATE,9.3335486,6.643,137.6177
4386,12204137,CANDIDATE,9.54060855,1.869,131.91276
4388,5389956,CANDIDATE,1.80926734,2.469,132.6883
4391,10662202,CANDIDATE,5.04413987,1.623,132.51986
4394,3934657,CANDIDATE,5.3694084,3.949,133.8117
4395,7515336,CANDIDATE,5.65690281,3.583,131.5761
4401,3557560,CANDIDATE,7.4299322,4.013,138.7701
4402,12109267,CANDIDATE,79.334347,10.886,144.0233
4403,8700895,CANDIDATE,5.68251605,3.479,131.6745
4407,5003670,CANDIDATE,4.52628739,3.736,134.32065
4411,12265786,CANDIDATE,0.597018404,0.4778,131.71277
4413,10873178,CANDIDATE,4.82025124,2.129,134.81355
4414,11337012,CANDIDATE,12.4019263,4.043,141.1769
4415,8359569,CANDIDATE,152.823896,7.734,147.5443
4418,9837828,CANDIDATE,6.80899076,2.077,132.19078
4419,4857058,CANDIDATE,77.915425,8.274,160.9193
4422,9947389,CANDIDATE,284.727213,10.299,142.0923
4424,3765917,CANDIDATE,30.5392931,6.887,156.7026
4427,7833305,CANDIDATE,8.31224474,2.663,139.67706
4429,12647577,CANDIDATE,12.6362048,3.961,134.4588
4432,4252671,CANDIDATE,23.266633,8.315,132.4386
