,id_target,disposition,period,duration
1130,TIC 437331306,CANDIDATE,1.717,6.192
1131,TIC 437331306,CANDIDATE,0.7165461,1.7496
1132,TIC 287028219,CANDIDATE,12.426,4.92312
1133,TIC 203378677,CANDIDATE,16.715029,1.8
1134,TIC 392467438,CANDIDATE,2.76294135,2.758
1141,TIC 335040757,CANDIDATE,1.225,9.01608
1142,TIC 422290347,CANDIDATE,0.595621,
1143,TIC 405676235,CANDIDATE,1.605718,1.5144
1144,TIC 346038323,CANDIDATE,6.669,4.98408
1145,TIC 335696950,CANDIDATE,17.788652,2.8104
1146,TIC 422327208,CANDIDATE,12.9348816,2.064
1147,TIC 422327208,CANDIDATE,12.93562,2.2296
1148,TIC 422327208,CANDIDATE,51.735,2.664
1149,TIC 405680435,CANDIDATE,34.144,7.92312
1150,TIC 405680435,CANDIDATE,34.1365,9.192
1151,TIC 346038506,CANDIDATE,3.56467,1.848
1152,TIC 290055205,CANDIDATE,21.0791,3.528
1153,TIC 386767605,CANDIDATE,4.174,1.86288
1154,TIC 386767605,CANDIDATE,4.17458,1.968
1155,TIC 290058804,CANDIDATE,15.9489,5.64
1156,TIC 335103607,CANDIDATE,2.55068936,7.155
1157,TIC 335103607,CANDIDATE,2.548,4.90296
1158,TIC 335103599,CANDIDATE,2.55234671,5.966
1159,TIC 335103599,CANDIDATE,2.549,3.83304
1160,TIC 392466752,CANDIDATE,2.500285,5.7
1161,TIC 357512769,CANDIDATE,0.6962935,0.7944
1162,TIC 335010092,CANDIDATE,22.446,3.48
1163,TIC 357446982,CANDIDATE,26.143,4.488
1164,TIC 357446982,CANDIDATE,26.147,4.34112
1165,TIC 189677517,CANDIDATE,14.452,2.958
1166,TIC 189677517,CANDIDATE,36.152,5.31696
1167,TIC 297149214,CANDIDATE,6.16596,
1168,TIC 422349843,CANDIDATE,46.4221,6.744
1169,TIC 422349843,CANDIDATE,46.423,6.59112
1170,TIC 357494741,CANDIDATE,1.852487,2.52
1171,TIC 335009833,CANDIDATE,3.746332,1.9
1172,TIC 335103137,CANDIDATE,28.24765,13.9752
1173,TIC 357514459,CANDIDATE,25.3606,4.656
1174,TIC 357447277,CANDIDATE,15.7086,3.648
1175,TIC 357447277,CANDIDATE,9.886,3.168
