loc_rowid,kepid,kepoi_name,koi_disposition,koi_period,koi_time0,koi_duration,koi_quarters
2807,3733628,K00387.01,CONFIRMED,13.899632330,2455015.864,3.57910,11111111111111111000000000000000
2808,3831053,K00388.01,CONFIRMED,6.149559310,2455002.552,5.56940,11111111111111111000000000000000
2809,6357290,K03040.01,CANDIDATE,4.809987800,2454966.007,1.97000,00011111111111111000000000000000
2810,4072955,K03041.01,CANDIDATE,5.082880760,2454967.006,2.51500,11111011101110111000000000000000
2811,8695311,K03042.01,CANDIDATE,31.025948900,2454991.563,5.69200,11111111111111111000000000000000
2812,9834731,K03043.01,CANDIDATE,3.089428070,2454967.200,3.21400,11111111111111111000000000000000
2813,5092266,K03045.01,CONFIRMED,44.870204200,2454974.114,4.19900,00011111111111111000000000000000
2814,4076976,K03124.01,FALSE POSITIVE,4.880780500,2454966.705,9.40000,11111011101110111000000000000000
2815,8751796,K03125.01,CONFIRMED,4.453424180,2454966.091,3.65400,11111111111111111000000000000000
2816,7097534,K03126.01,FALSE POSITIVE,2.213966850,2454965.564,4.37400,11110111011101110000000000000000
2817,9907129,K03127.01,CONFIRMED,9.705693000,2454973.371,7.70200,11111101110111011000000000000000
